,id,name,slug,st_x,st_y,district,state,region,panchayat,sub_district_type_id,sub_district_name
0,969,Maem,969-maem,15.5687975,73.9242251,North Goa,Goa,,,3.0,Bicholim
1,571,Mohanpur,571-mohanpur,22.7674278,88.3883455,North 24 Parganas,West Bengal,,,1.0,Barrackpore
2,568,Sana Hill Top,568-sana-hill-top,27.0593562,88.4694535,Kalimpong,West Bengal,,,,
3,593,Simayel,593-simayel,29.4464076,79.5596415,Nainital,Uttarakhand,,,4.0,Ramgarh
4,47,Sundergarh,47-sundergarh,22.12,84.03,Sundargarh,Odisha,,,,
5,574,Chenneri,574-chenneri,12.8341735,79.7036402,Kanchipuram,Tamil Nadu,,,,
6,579,Jorkadanga,579-jorkadanga,23.2415632,87.8704735,Bardhaman,West Bengal,,,,
7,1194,Amarpur,1194-amarpur,25.0396898,86.9035511,Banka,Bihar,,,1.0,
8,602,Thanneermukkam,602-thanneermukkam,9.6641584,76.383986,Alappuzha,Kerala,,,1.0,Kanjikuzhy
9,570,Rajapeth,570-rajapeth,20.9207512,77.755937,Amravati,Maharashtra,,,3.0,Amravati
10,979,Gangem,979-gangem,15.5163112,73.9830029,North Goa,Goa,,,3.0,Ponda
11,29,Jalna,29-jalna,19.83,75.88,Jalna,Maharashtra,,,,
12,51,Wardha,51-wardha,20.745319,78.6021946,Wardha,Maharashtra,,,,
13,15,Parchanpal,15-parchanpal,19.1741853,81.9684821000001,Bastar,Chhattisgarh,,,,
14,588,Mohanpur,588-mohanpur,22.9605105,88.5674032,Nadia,West Bengal,,,1.0,Haringhata
15,91,Kohlapur,91-kohlapur,16.6913076,74.2448661999999,Kolhapur,Maharashtra,,,,
16,595,Mukundapur,595-mukundapur,23.4036446,88.3676393,Nadia,West Bengal,,,1.0,Nabadwip
17,594,Balindi,594-balindi,22.9605105,88.5674032,Nadia,West Bengal,,,1.0,Haringhata
18,590,Bhaluka,590-bhaluka,23.4036446,88.3676393,Nadia,West Bengal,,,1.0,Nabadwip
19,573,Khalghat,573-khalghat,22.156178,75.3499629,Dhar,Madhya Pradesh,,,4.0,Dharampuri
20,591,Kattachira,591-kattachira,9.6752862,76.598222,Alappuzha,Kerala,,,1.0,Kokkothamangalam
21,596,Andhakaranazhi,596-andhakaranazhi,9.7493163,76.2862873,Alappuzha,Kerala,,,1.0,Pattanakkad
22,576,Jayanti,576-jayanti,22.5957689,88.2636394,Howrah ,West Bengal,,,1.0,Amta II
23,577,Jorkadanga,577-jorkadanga,23.2415632,87.8704735,Bardhaman,West Bengal,,,1.0,Aushgram
24,578,Matigara,578-matigara,26.7257626,88.384625,Darjeeling,West Bengal,,,1.0,Matigara
25,580,Kalavai,580-kalavai,12.7674633,79.4169356,Vellore,Tamil Nadu,,,3.0,Arcot
